,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
0,500002,ABB LTD.    ,A ,Q,4771.65,4792.5,4671.65,4710.65,4710.65,4771.65,934,3937,18582458.0,
1,500003,AEGIS LOGIS ,A ,Q,370.85,383.45,369.2,376.4,376.4,370.6,3345,118246,44504059.0,
2,500008,ARE&M       ,A ,Q,808.65,817.0,771.9,811.3,811.3,796.2,2321,35650,28223824.0,
3,500009,A.SARABHAI  ,X ,Q,50.0,57.4,50.0,54.79,54.79,50.74,2172,590181,31975119.0,
4,500012,ANDHRA PETRO,X ,Q,93.51,94.9,90.05,94.4,94.4,93.94,966,148309,13824895.0,
5,500014,UTIQUE      ,X ,Q,8.54,8.54,8.0,8.29,8.29,8.28,291,97934,808500.0,
6,500016,ARUNAHTEL   ,X ,Q,19.1,19.93,18.15,19.74,19.93,19.09,152,43807,836145.0,
7,500020,BOM DYEING  ,A ,Q,155.85,157.6,149.0,154.85,154.85,156.15,1822,135321,20915128.0,
8,500023,ASIANHOTNR  ,T ,Q,205.0,205.85,190.45,190.45,190.45,196.05,6,822,161456.0,
9,500027,ATUL LTD.   ,A ,Q,6600.0,6669.0,6520.25,6610.6,6669.0,6628.8,907,2456,16173590.0,
10,500028,ATV PROJECTS,XT,Q,22.29,22.6,20.66,22.46,22.6,21.54,530,196732,4372939.0,
11,500031,BAJAJ ELECT.,A ,Q,1044.8,1044.8,998.95,1026.75,1025.0,1033.85,387,2597,2647794.0,
12,500032,BAJAJHIND   ,A ,Q,26.69,26.95,25.65,26.42,26.42,26.62,2923,1171143,30806117.0,
13,500033,FORCE MOTR  ,A ,Q,3572.95,3576.4,3421.0,3491.95,3491.95,3554.95,1696,14165,49360213.0,
14,500034,BAJFINANCE  ,A ,Q,7331.45,7346.3,7232.95,7265.2,7265.2,7357.15,8039,66505,484105634.0,
15,500038,BALRAM.CHINI,A ,Q,385.5,390.7,372.45,384.85,384.85,385.45,10162,369511,141146775.0,
16,500039,BANCO PROD. ,B ,Q,682.8,687.85,651.45,675.95,675.0,682.8,3901,62600,41991752.0,
17,500040,CENTURY TEXT,A ,Q,1385.15,1413.95,1365.0,1388.75,1388.5,1397.4,500,3987,5542697.0,
18,500041,BANNARI AMAN,B ,Q,2543.0,2543.0,2450.0,2455.15,2450.05,2562.6,131,239,589907.0,
19,500042,BASF INDIA  ,A ,Q,2950.0,2962.3,2870.0,2947.0,2945.5,2951.3,413,1166,3403481.0,
20,500043,BATA INDIA  ,A ,Q,1543.9,1543.9,1512.9,1517.15,1519.5,1543.9,2046,16042,24472225.0,
21,500048,BEML LTD    ,A ,Q,3115.9,3163.8,3039.55,3145.55,3145.5,3084.8,2010,15767,49159140.0,
22,500049,BHARAT ELECT,A ,Q,185.85,189.0,180.0,188.25,188.25,185.7,19496,1879198,347906480.0,
23,500052,BHANSALI ENG,B ,Q,110.2,111.7,106.3,110.2,110.8,110.4,1623,130380,14207384.0,
24,500058,BIHAR SPONGE,XT,Q,15.35,15.35,14.62,15.16,15.16,14.62,1064,632379,9616449.0,
25,500059,BINANI IND. ,T ,Q,19.47,19.47,19.47,19.47,19.47,19.86,13,1940,37771.0,
26,500060,BIRLACABLE  ,B ,Q,272.95,284.3,265.95,283.9,283.9,270.8,2796,58483,16404258.0,
27,500067,BLUE STAR   ,A ,Q,1052.15,1072.45,1034.65,1046.65,1043.25,1060.5,1323,8695,9146364.0,
28,500068,DISA INDIA  ,B ,Q,14800.05,15179.95,14800.0,15094.1,15096.0,15018.65,26,54,804102.0,
29,500069,QUESTCAP    ,X ,Q,388.0,388.0,368.05,374.85,375.0,379.85,45,1537,578465.0,
30,500074,BPL LTD.    ,T ,Q,85.5,87.5,84.3,86.15,86.15,87.0,155,7903,678826.0,
31,500078,OAL         ,B ,Q,397.45,397.45,375.4,386.75,384.6,387.5,192,2704,1053087.0,
32,500083,CENTURY EXT ,B ,Q,28.24,28.24,28.24,28.24,28.24,26.9,649,416174,11752753.0,
33,500084,CESC LTD.   ,A ,Q,136.85,142.55,132.0,141.55,141.55,138.4,9617,1333331,184908165.0,
34,500085,CHAMBAL FERT,A ,Q,380.15,384.8,359.8,382.9,382.9,384.75,4224,176730,65944085.0,
35,500086,EXIDE IND.  ,A ,Q,319.05,322.0,309.25,319.1,322.0,319.3,4116,1085704,345972264.0,
36,500087,CIPLA LTD.  ,A ,Q,1293.35,1326.6,1268.4,1323.3,1323.3,1293.5,3480,187077,242350466.0,
37,500089,DIC INDIA   ,B ,Q,523.1,526.9,509.0,510.85,516.65,528.9,243,1722,894705.0,
38,500092,CRISIL LTD  ,A ,Q,3999.15,4114.5,3999.15,4101.4,4089.2,4099.75,161,323,1321486.0,
39,500093,CGPOWER     ,A ,Q,461.85,461.85,449.8,452.75,452.75,463.25,3788,124221,56540538.0,
40,500096,DABUR (I)   ,A ,Q,545.25,548.5,535.5,539.55,539.55,549.45,4342,51868,28030179.0,
41,500097,DALMIASUG   ,B ,Q,392.1,397.25,386.8,388.45,388.45,395.15,950,14433,5641989.0,
42,500101,ARVIND Ltd  ,A ,Q,282.35,288.9,274.8,285.55,285.55,278.45,2924,90852,25799790.0,
43,500103,BHEL        ,A ,Q,209.75,212.9,196.4,212.0,212.0,206.65,22853,3741635,771752364.0,
44,500104,HIND.PETRO  ,A ,Q,448.5,461.8,439.7,454.7,454.7,449.05,3986,283038,128297604.0,
45,500106,IFCI LTD    ,A ,Q,31.59,32.08,30.0,31.47,31.47,31.52,8287,6790084,211785973.0,
46,500108,MAHA.TELE   ,B ,Q,35.0,35.4,32.38,34.28,34.28,35.07,5267,2021285,68569081.0,
47,500109,MRPL        ,A ,Q,171.2,179.7,164.05,177.8,177.8,171.15,5699,564869,97335936.0,
48,500110,CHENNAI PET.,A ,Q,857.1,879.2,833.95,873.45,873.45,855.75,5958,156733,134878150.0,
49,500112,STATE BANK  ,A ,Q,625.2,633.35,619.0,628.3,628.3,626.15,19123,802098,502847279.0,
50,500113,STEEL AUTH. ,A ,Q,113.25,114.0,107.5,113.1,113.1,113.1,26965,3893439,432380291.0,
51,500114,TITAN       ,A ,Q,3799.95,3822.6,3720.0,3736.05,3736.05,3830.0,3650,18670,70355239.0,
52,500116,IDBI BANK L ,A ,Q,68.01,69.94,66.75,69.31,69.31,68.67,5085,1513770,103806875.0,
53,500117,DCW LTD.    ,B ,Q,60.12,61.26,57.55,60.16,60.16,60.18,2582,476318,28378085.0,
54,500119,DHAMPUR SUGA,A ,Q,265.6,265.6,253.6,256.2,256.2,262.45,1115,32245,8304208.0,
55,500120,DIAMINES&CHM,B ,Q,520.1,526.95,515.5,517.3,516.15,525.6,205,1058,549987.0,
56,500123,ELANTAS     ,B ,Q,8250.05,8349.95,8201.0,8207.8,8201.0,8296.3,61,197,1621412.0,
57,500124,DR.REDDY'S  ,A ,Q,5616.75,5667.5,5523.45,5649.75,5649.75,5645.45,1400,37744,212834242.0,
58,500125,E.I.D.PAR   ,A ,Q,576.6,576.8,553.1,564.5,565.05,576.75,2013,35044,19769655.0,
59,500126,PGHL        ,A ,Q,5151.05,5253.45,5074.05,5220.0,5221.95,5218.85,287,914,4754400.0,
60,500128,ELEC.CASTING,A ,Q,135.2,142.0,132.6,140.75,140.75,135.15,7131,708851,98327777.0,
61,500133,ESAB INDIA  ,A ,Q,5632.45,5632.5,5501.4,5579.35,5584.7,5598.35,83,207,1152205.0,
62,500135,EPL         ,A ,Q,199.15,203.6,195.6,197.7,198.0,197.5,1216,51516,10237277.0,
63,500136,ESTER INDUS.,B ,Q,99.11,102.77,97.2,100.54,100.51,100.41,503,12972,1283375.0,
64,500142,FGP LTD.    ,X ,Q,7.37,7.37,7.05,7.37,7.37,7.37,4,1430,10535.0,
65,500143,P.H.CAPITAL ,X ,Q,100.3,105.75,98.45,100.8,100.75,101.8,33,950,96231.0,
66,500144,FINOL. CABLE,A ,Q,1063.35,1073.85,1041.1,1059.65,1066.9,1056.2,756,9147,9673594.0,
67,500147,COCKERILL   ,B ,Q,3449.95,3619.0,3265.05,3546.3,3526.25,3397.2,1037,11535,40336460.0,
68,500148,UFLEX LTD   ,A ,Q,470.0,470.0,451.55,469.3,470.0,465.6,1210,19448,9005080.0,
69,500150,FOSECO INDIA,B ,Q,3610.0,3632.0,3582.2,3601.7,3617.0,3632.85,29,64,231209.0,
70,500151,GOLDEN TOB  ,Z ,Q,54.75,54.75,53.07,54.75,54.75,52.15,10,2983,163097.0,
71,500153,GANESH BENZO,B ,Q,158.0,168.8,157.2,164.35,164.35,157.3,1382,68528,11273508.0,
72,500159,METROGLOBL  ,X ,Q,137.05,147.0,137.05,143.4,145.0,144.25,163,10879,1564455.0,
73,500160,GTL LTD.    ,T ,Q,13.29,14.66,13.29,14.56,14.56,13.98,1229,861899,11961476.0,
74,500163,GODFREY PH  ,A ,Q,2164.95,2164.95,2065.5,2113.9,2113.9,2129.45,606,2785,5865999.0,
75,500164,GODREJ IND  ,A ,Q,817.9,848.75,806.5,816.35,815.3,814.45,1745,26590,21870403.0,
76,500165,KANSAI NERO ,A ,Q,338.0,345.25,332.45,341.3,342.0,340.2,1305,33484,11353936.0,
77,500166,GOODRICKE   ,X ,Q,205.15,208.85,204.0,207.8,207.8,205.15,128,5935,1222913.0,
78,500168,GOODYEAR (I),B ,Q,1290.1,1319.9,1280.0,1304.3,1304.3,1298.9,1067,15235,19858929.0,
79,500170,GTN INDUS   ,XT,Q,48.47,49.5,47.0,48.54,49.5,48.47,120,13613,650251.0,
