,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
0,500002,ABB LTD.    ,A ,Q,4873.7,4892.3,4566.15,4608.1,4608.1,4839.4,2828,16133,76106292.0,
1,500003,AEGIS LOGIS ,A ,Q,377.0,379.75,355.05,356.95,356.95,377.5,2916,88519,32493727.0,
2,500008,ARE&M       ,A ,Q,785.0,787.1,737.5,742.85,742.85,783.15,12392,185312,140083939.0,
3,500009,A.SARABHAI  ,XT,Q,40.05,40.05,38.49,38.49,38.49,39.27,175,148757,5875454.0,
4,500012,ANDHRA PETRO,X ,Q,81.35,83.0,78.06,78.52,78.52,80.48,1416,258247,21140967.0,
5,500014,UTIQUE      ,X ,Q,7.24,7.24,6.1,6.43,6.37,6.64,243,50040,327531.0,
6,500016,ARUNAHTEL   ,X ,Q,15.82,15.82,14.75,14.99,14.99,15.51,98,47648,727437.0,
7,500020,BOM DYEING  ,A ,Q,154.0,155.0,144.75,145.6,145.6,153.45,3529,185491,27620495.0,
8,500027,ATUL LTD.   ,A ,Q,7119.75,7119.75,6796.5,6818.15,6815.0,7091.8,1058,6602,45194580.0,
9,500028,ATV PROJECTS,XT,Q,14.5,14.5,14.21,14.21,14.21,14.5,65,32846,467133.0,
10,500031,BAJAJ ELECT.,A ,Q,1000.2,1013.25,980.0,993.4,993.4,1007.1,485,3736,3727636.0,
11,500032,BAJAJHIND   ,A ,Q,29.35,29.35,27.22,27.36,27.36,29.15,10990,3563265,100540955.0,
12,500033,FORCE MOTR  ,B ,Q,3724.9,3777.0,3601.0,3613.85,3613.85,3690.95,1943,18881,69811049.0,
13,500034,BAJFINANCE  ,A ,Q,7641.2,7693.85,7466.4,7489.35,7489.35,7632.45,2876,19418,147371828.0,
14,500038,BALRAM.CHINI,A ,Q,399.8,399.8,382.0,385.05,385.05,396.85,8086,316167,123663429.0,
15,500039,BANCO PROD. ,B ,Q,581.75,597.05,550.0,553.3,556.0,587.95,2692,40445,22913549.0,
16,500040,CENTURY TEXT,A ,Q,1237.75,1258.7,1203.0,1209.2,1206.65,1223.35,2230,24686,30290327.0,
17,500041,BANNARI AMAN,B ,Q,2618.0,2629.25,2540.0,2545.35,2569.0,2643.85,194,602,1546749.0,
18,500042,BASF INDIA  ,A ,Q,3045.3,3096.15,2970.55,2986.0,3031.7,3057.65,475,1564,4737783.0,
19,500043,BATA INDIA  ,A ,Q,1680.0,1724.35,1572.45,1631.2,1639.8,1673.0,3179,37090,62157096.0,
20,500048,BEML LTD    ,A ,Q,2722.25,2756.0,2481.45,2503.9,2503.9,2703.65,2447,28859,75398103.0,
21,500049,BHARAT ELECT,A ,Q,173.95,176.25,166.1,167.25,167.25,173.0,10217,1332680,229432205.0,
22,500052,BHANSALI ENG,B ,Q,104.5,107.98,96.51,97.67,97.25,104.47,3354,218304,22205723.0,
23,500058,BIHAR SPONGE,XT,Q,10.39,10.49,10.06,10.09,10.2,10.24,236,73800,758138.0,
24,500059,BINANI IND. ,T ,Q,14.95,14.95,14.89,14.89,14.89,14.9,8,2600,38744.0,
25,500060,BIRLACABLE  ,B ,Q,307.95,310.25,289.4,289.4,289.4,304.6,727,13542,4026007.0,
26,500067,BLUE STAR   ,A ,Q,954.65,954.65,915.2,927.9,927.9,948.8,1831,14334,13463524.0,
27,500068,DISA INDIA  ,B ,Q,16500.0,16500.0,15751.0,15770.55,15770.55,15772.6,156,409,6598380.0,
28,500069,QUESTCAP    ,X ,Q,389.6,400.0,355.0,362.2,355.05,389.6,46,644,240871.0,
29,500074,BPL LTD.    ,T ,Q,83.5,83.5,83.21,83.21,83.21,84.9,51,6207,517143.0,
30,500078,OAL         ,B ,Q,351.0,355.0,339.0,350.0,347.6,351.2,210,6908,2410361.0,
31,500083,CENTURY EXT ,B ,Q,18.76,19.15,17.35,17.54,17.54,18.76,1096,208500,3759975.0,
32,500084,CESC LTD.   ,A ,Q,122.94,123.46,110.1,114.85,114.85,121.43,6309,1106611,129238101.0,
33,500085,CHAMBAL FERT,A ,Q,350.5,352.35,325.25,329.35,329.35,348.85,7263,314341,106858727.0,
34,500086,EXIDE IND.  ,A ,Q,307.15,307.15,278.4,287.3,287.3,305.05,6359,346014,101288290.0,
35,500087,CIPLA LTD.  ,A ,Q,1240.35,1248.0,1231.0,1234.7,1234.7,1236.45,2844,88551,109731724.0,
36,500089,DIC INDIA   ,B ,Q,502.0,502.0,475.1,476.0,475.1,494.25,32,100,48660.0,
37,500092,CRISIL LTD  ,A ,Q,4295.4,4295.4,4211.05,4255.45,4241.0,4250.8,188,515,2189854.0,
38,500093,CGPOWER     ,A ,Q,456.15,457.75,444.55,450.25,450.25,455.05,2169,71682,32361135.0,
39,500096,DABUR (I)   ,A ,Q,550.0,550.7,532.45,534.8,535.0,548.1,1757,31959,17314210.0,
40,500097,DALMIASUG   ,B ,Q,413.05,423.0,401.05,403.0,403.0,413.75,1464,25910,10601054.0,
41,500101,ARVIND Ltd  ,A ,Q,250.35,251.65,235.05,240.9,240.9,248.55,3485,111698,27368567.0,
42,500103,BHEL        ,A ,Q,186.65,190.45,169.65,172.05,172.05,184.7,17425,2779116,501683610.0,
43,500104,HIND.PETRO  ,A ,Q,384.0,384.75,363.55,365.15,365.15,380.85,7202,788387,297104616.0,
44,500106,IFCI LTD    ,A ,Q,30.34,30.55,27.36,27.63,27.63,30.18,9715,6484026,188102439.0,
45,500108,MAHA.TELE   ,A ,Q,33.77,34.2,29.6,30.3,30.3,33.76,5991,2659348,85522451.0,
46,500109,MRPL        ,A ,Q,132.4,135.4,122.55,123.65,123.65,131.25,8373,1009055,130666378.0,
47,500110,CHENNAI PET.,A ,Q,714.75,741.4,665.0,677.65,677.65,708.3,7880,220809,155650738.0,
48,500112,STATE BANK  ,A ,Q,659.4,660.4,633.7,636.15,636.15,655.6,28522,1323717,855275658.0,
49,500113,STEEL AUTH. ,A ,Q,112.01,112.96,102.91,103.77,103.77,111.04,16538,2666081,288947822.0,
50,500114,TITAN       ,A ,Q,3620.1,3651.0,3540.7,3553.05,3553.05,3612.0,7182,52309,188876463.0,
51,500116,IDBI BANK L ,A ,Q,70.29,70.48,64.1,64.79,64.79,69.61,9572,2422382,162786566.0,
52,500117,DCW LTD.    ,A ,Q,55.87,56.08,52.41,52.8,52.41,55.44,1891,363636,19757933.0,
53,500119,DHAMPUR SUGA,A ,Q,258.3,260.0,246.0,248.0,248.0,259.05,2712,83362,21038040.0,
54,500120,DIAMINES&CHM,B ,Q,529.9,579.0,528.6,548.2,548.2,516.05,2749,26558,14870807.0,
55,500123,ELANTAS     ,B ,Q,7925.0,8099.9,7820.0,7993.35,7993.35,7872.95,215,1594,12652744.0,
56,500124,DR.REDDY'S  ,A ,Q,5630.15,5674.8,5551.25,5574.9,5574.9,5637.8,2697,14255,80199518.0,
57,500125,E.I.D.PAR   ,A ,Q,564.2,566.5,538.35,540.55,539.6,562.0,1584,50697,27856720.0,
58,500126,PGHL        ,A ,Q,4994.0,5007.95,4932.0,4966.2,4935.35,5002.5,193,552,2747748.0,
59,500128,ELEC.CASTING,A ,Q,113.75,117.45,109.05,112.15,112.15,115.9,4133,447975,50816843.0,
60,500133,ESAB INDIA  ,A ,Q,5701.05,5968.9,5642.8,5697.9,5677.35,5906.75,375,1833,10675263.0,
61,500135,EPL         ,A ,Q,201.55,204.55,192.0,192.75,193.35,201.0,2680,153815,30394170.0,
62,500136,ESTER INDUS.,B ,Q,89.29,89.75,86.8,86.92,86.92,89.29,495,15751,1388231.0,
63,500142,FGP LTD.    ,X ,Q,6.5,6.5,6.01,6.02,6.02,6.38,30,7936,48499.0,
64,500143,P.H.CAPITAL ,X ,Q,109.55,109.55,99.37,99.51,99.4,104.6,71,7604,771773.0,
65,500144,FINOL. CABLE,A ,Q,1139.65,1140.65,1039.15,1069.9,1067.5,1133.15,2013,31816,34816488.0,
66,500147,COCKERILL   ,B ,Q,3168.0,3275.0,3024.0,3052.9,3052.9,3167.55,624,7195,22740643.0,
67,500148,UFLEX LTD   ,A ,Q,456.05,479.0,436.15,440.65,446.0,457.45,953,21446,9813485.0,
68,500150,FOSECO INDIA,B ,Q,4055.05,4144.1,3820.9,3874.5,3871.0,4110.65,734,2021,8023936.0,
69,500151,GOLDEN TOB  ,Z ,Q,51.01,51.01,49.15,49.5,49.5,51.01,34,6669,334591.0,
70,500153,GANESH BENZO,B ,Q,156.9,156.9,148.45,149.55,149.55,154.15,1161,68805,10442826.0,
71,500159,METROGLOBL  ,X ,Q,107.0,123.85,107.0,109.95,110.95,107.4,1028,93398,10835870.0,
72,500160,GTL LTD.    ,T ,Q,8.9,8.9,8.31,8.41,8.41,8.48,428,218747,1920034.0,
73,500163,GODFREY PH  ,A ,Q,2102.5,2133.75,2040.05,2058.15,2058.15,2101.75,574,3969,8312461.0,
74,500164,GODREJ IND  ,A ,Q,700.0,710.2,658.5,682.1,684.1,692.2,1554,25698,17662368.0,
75,500165,KANSAI NERO ,A ,Q,331.15,334.95,317.5,320.0,322.7,331.4,879,20569,6717467.0,
76,500166,GOODRICKE   ,X ,Q,189.0,195.95,186.1,187.75,187.75,186.2,420,34830,6673195.0,
77,500168,GOODYEAR (I),B ,Q,1312.2,1331.0,1288.0,1291.55,1291.55,1315.95,926,12607,16505652.0,
78,500170,GTN INDUS   ,X ,Q,42.3,44.0,39.95,40.03,40.0,43.31,184,30039,1229861.0,
79,500171,GHCL LTD    ,A ,Q,580.6,580.6,545.15,548.75,548.75,573.0,608,25979,14586448.0,
80,500173,GFLLIMITED  ,B ,Q,100.46,101.85,94.11,95.03,94.3,100.2,400,14448,1402499.0,
81,500174,GUJ.LEASE   ,B ,Q,5.0,5.0,4.8,4.8,4.8,4.8,9,7502,36109.0,
82,500179,HCL INFOSYS ,B ,Q,19.5,21.15,18.43,18.91,18.91,19.55,4244,1766653,35808154.0,
83,500180,HDFC BANK   ,A ,Q,1655.2,1668.55,1644.2,1656.2,1656.2,1653.05,41162,886915,1474127348.0,
84,500182,HEROMOTOCO  ,A ,Q,3867.8,3904.85,3793.0,3812.3,3812.3,3824.9,4807,29244,112659453.0,
85,500183,HFCL        ,A ,Q,82.3,83.1,73.95,74.57,74.57,81.04,15864,3828635,304457633.0,
86,500184,HSCL        ,A ,Q,294.7,297.5,270.0,274.5,274.5,294.65,15673,577647,162135603.0,
87,500185,HIND.CONSTN.,A ,Q,31.41,31.61,28.41,28.58,28.58,31.35,9594,6047459,180894338.0,
88,500186,HIND.OIL EXP,A ,Q,169.05,187.75,168.7,174.6,174.6,168.55,16339,1328118,238928348.0,
89,500187,AGI         ,A ,Q,876.5,876.5,801.05,812.75,812.0,860.5,1650,30572,25450985.0,
90,500188,HINDUS.ZI   ,A ,Q,313.7,313.95,306.0,307.15,307.15,312.3,5362,118763,36792457.0,
91,500189,NDLVENTURE  ,B ,Q,150.45,151.75,142.0,143.8,144.8,151.3,155,4883,716494.0,
92,500191,HMT LTD.    ,Z ,Q,56.98,56.98,51.56,53.46,53.0,54.27,176,73934,4179981.0,
93,500192,PRAG BOSIMI ,X ,Q,2.97,3.15,2.88,2.9,2.9,2.97,62,32967,98989.0,
94,500193,HLVLTD      ,B ,Q,28.84,30.54,26.33,26.78,26.88,28.68,2431,393167,11257781.0,
95,500199,I.G.PETRO   ,B ,Q,466.4,473.0,450.0,454.65,454.0,465.55,674,8378,3867106.0,
96,500201,IND.GLYCOLS ,A ,Q,765.4,778.6,723.55,729.4,729.4,761.35,3071,52502,39735491.0,
97,500202,IND.LEAS.DEV,XT,Q,14.09,14.1,12.84,12.84,12.84,13.51,77,10141,132664.0,
98,500206,MARGO FIN   ,XT,Q,43.43,43.43,42.57,42.57,42.57,43.43,14,2101,89525.0,
99,500207,INDO RAMA   ,B ,Q,51.19,52.4,49.22,49.74,49.22,50.75,423,81359,4125031.0,
100,500209,INFOSYS LTD ,A ,Q,1563.35,1583.35,1529.45,1535.75,1535.75,1557.05,6814,144824,226363160.0,
101,500210,INGERSOLL   ,A ,Q,3236.0,3254.0,3104.95,3144.9,3140.7,3203.9,1031,4116,13147550.0,
