,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
0,500002,ABB LTD.    ,A ,Q,4730.15,4811.0,4618.95,4731.0,4731.0,4771.8,2123,11249,53037433.0,
1,500003,AEGIS LOGIS ,A ,Q,388.75,388.75,381.75,385.0,386.15,384.7,1556,57672,22216172.0,
2,500008,ARE&M       ,A ,Q,790.0,805.0,777.45,799.25,800.0,790.1,3204,54412,43295327.0,
3,500009,A.SARABHAI  ,X ,Q,47.05,49.85,47.05,48.99,48.99,47.91,602,148911,7305345.0,
4,500012,ANDHRA PETRO,X ,Q,97.63,105.75,95.9,104.33,104.33,98.74,1306,372827,38060890.0,
5,500014,UTIQUE      ,X ,Q,8.33,8.33,7.5,8.0,8.15,8.0,306,66229,520421.0,
6,500016,ARUNAHTEL   ,X ,Q,18.17,19.75,18.17,19.06,19.06,18.53,103,74090,1406959.0,
7,500020,BOM DYEING  ,A ,Q,144.75,171.0,144.75,168.85,168.85,144.75,14246,1559743,255657183.0,
8,500023,ASIANHOTNR  ,T ,Q,201.0,209.9,194.0,209.9,209.9,201.0,11,247,48291.0,
9,500027,ATUL LTD.   ,A ,Q,6278.75,6446.95,6179.6,6415.2,6384.1,6188.95,1087,2973,18888940.0,
10,500028,ATV PROJECTS,XT,Q,27.22,27.22,24.64,26.76,26.9,25.93,633,207528,5503001.0,
11,500031,BAJAJ ELECT.,A ,Q,1012.15,1034.85,1012.15,1032.75,1027.5,1019.35,913,5710,5862564.0,
12,500032,BAJAJHIND   ,A ,Q,25.21,26.77,24.76,26.56,26.56,25.1,6167,1523462,39310952.0,
13,500033,FORCE MOTR  ,A ,Q,3454.5,3465.0,3333.0,3352.0,3352.0,3418.85,2328,23321,79022612.0,
14,500034,BAJFINANCE  ,A ,Q,7095.15,7108.75,7000.0,7058.8,7058.8,7070.7,9432,48582,342464763.0,
15,500038,BALRAM.CHINI,A ,Q,381.85,386.5,377.75,384.3,384.0,378.2,1881,58557,22383732.0,
16,500039,BANCO PROD. ,B ,Q,687.85,697.85,664.7,695.25,697.85,673.25,1730,39366,26840184.0,
17,500040,CENTURY TEXT,A ,Q,1366.5,1367.95,1325.0,1352.75,1352.0,1373.8,1912,16470,22182319.0,
18,500041,BANNARI AMAN,B ,Q,2451.1,2459.4,2451.1,2458.75,2459.4,2432.35,11,36,88366.0,
