,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
0,500002,ABB LTD.    ,A ,Q,4825.7,4900.0,4803.4,4831.0,4820.8,4824.8,1314,6035,29295668.0,
1,500003,AEGIS LOGIS ,A ,Q,347.75,347.75,332.0,333.55,333.55,343.8,1964,51173,17309732.0,
2,500008,ARE&M       ,A ,Q,818.15,842.4,818.15,834.9,834.95,816.6,2811,58761,48861806.0,
3,500009,A.SARABHAI  ,XT,Q,43.99,44.0,41.45,42.31,42.99,42.51,537,209299,8992825.0,
4,500012,ANDHRA PETRO,X ,Q,94.95,95.5,92.0,93.68,93.68,94.12,1829,417280,39105095.0,
5,500014,UTIQUE      ,X ,Q,8.25,8.39,7.65,7.68,7.68,8.0,667,261751,2086011.0,
6,500016,ARUNAHTEL   ,X ,Q,15.66,15.88,15.21,15.84,15.88,15.34,112,35206,549923.0,
7,500020,BOM DYEING  ,A ,Q,162.0,164.3,158.25,160.3,160.3,161.05,3747,240786,39000678.0,
8,500023,ASIANHOTNR  ,T ,Q,227.3,227.3,217.1,217.1,217.1,217.1,3,41,9115.0,
9,500027,ATUL LTD.   ,A ,Q,7151.95,7151.95,7001.3,7031.05,7031.05,7073.1,298,964,6827778.0,
10,500028,ATV PROJECTS,XT,Q,16.21,16.47,15.5,15.99,15.99,15.72,196,60864,982744.0,
11,500031,BAJAJ ELECT.,A ,Q,1017.05,1046.0,1017.05,1026.05,1026.05,1022.3,1110,10636,10982259.0,
12,500032,BAJAJHIND   ,A ,Q,28.69,29.24,28.34,28.58,28.58,28.54,6501,3220017,92806915.0,
13,500033,FORCE MOTR  ,A ,Q,3675.05,3690.0,3585.0,3603.55,3603.55,3664.35,2132,16714,60793278.0,
14,500034,BAJFINANCE  ,A ,Q,7727.1,7788.0,7675.0,7710.55,7704.75,7704.25,14377,327621,2525003996.0,
15,500038,BALRAM.CHINI,A ,Q,410.0,410.0,401.6,403.45,403.45,407.35,3611,125421,50835215.0,
16,500039,BANCO PROD. ,B ,Q,655.25,655.25,633.45,640.15,641.2,650.7,820,10944,7042474.0,
17,500040,CENTURY TEXT,A ,Q,1392.65,1500.65,1376.8,1413.2,1419.0,1397.65,6939,80775,116789804.0,
18,500041,BANNARI AMAN,B ,Q,2563.0,2563.0,2510.0,2526.35,2513.05,2526.1,45,78,197550.0,
19,500042,BASF INDIA  ,A ,Q,3072.0,3082.2,3032.7,3043.8,3047.4,3064.7,441,1520,4644594.0,
