,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
0,500002,ABB LTD.    ,A ,Q,4726.2,4777.65,4682.45,4767.4,4773.0,4720.65,717,3064,14480255.0,
1,500003,AEGIS LOGIS ,A ,Q,385.6,396.3,380.5,394.35,393.1,386.9,1720,63087,24578621.0,
2,500008,ARE&M       ,A ,Q,766.1,784.25,762.8,776.15,776.15,755.2,1707,38741,29876714.0,
3,500009,A.SARABHAI  ,XT,Q,39.16,39.16,39.16,39.16,39.16,39.95,99,30342,1188192.0,
4,500012,ANDHRA PETRO,X ,Q,81.0,81.0,79.1,80.11,80.11,81.07,486,65137,5221036.0,
5,500014,UTIQUE      ,X ,Q,6.78,6.78,6.46,6.54,6.55,6.56,178,42611,279161.0,
6,500016,ARUNAHTEL   ,X ,Q,16.69,16.69,15.9,16.23,16.0,16.24,45,11024,180439.0,
7,500020,BOM DYEING  ,A ,Q,153.85,155.6,151.95,153.05,153.0,152.7,1105,56781,8720590.0,
8,500027,ATUL LTD.   ,A ,Q,6800.0,6870.0,6770.85,6847.3,6811.25,6802.4,207,870,5938238.0,
9,500028,ATV PROJECTS,XT,Q,14.86,15.0,14.85,15.0,15.0,14.85,56,61432,918488.0,
10,500031,BAJAJ ELECT.,A ,Q,1011.0,1021.0,1002.0,1013.4,1021.0,1000.65,361,2484,2507159.0,
11,500032,BAJAJHIND   ,A ,Q,28.27,28.6,27.62,27.92,27.92,28.17,2964,1066902,29854504.0,
12,500033,FORCE MOTR  ,B ,Q,3749.8,3780.0,3635.0,3656.2,3656.2,3683.8,2897,23566,87213661.0,
13,500034,BAJFINANCE  ,A ,Q,7307.25,7307.25,7207.65,7258.5,7252.8,7312.15,1909,10945,79307833.0,
14,500038,BALRAM.CHINI,A ,Q,390.0,391.15,376.35,378.75,378.75,389.8,11505,328116,124937171.0,
15,500039,BANCO PROD. ,B ,Q,588.4,588.4,573.7,581.55,581.55,576.85,1221,15700,9103953.0,
16,500040,CENTURY TEXT,A ,Q,1296.7,1299.0,1282.95,1289.1,1283.55,1288.0,389,3088,3982657.0,
17,500041,BANNARI AMAN,B ,Q,2480.65,2497.75,2466.8,2473.75,2472.5,2481.1,29,56,138813.0,
18,500042,BASF INDIA  ,A ,Q,2945.0,2949.9,2911.0,2930.85,2938.55,2938.8,217,478,1399203.0,
19,500043,BATA INDIA  ,A ,Q,1659.3,1659.3,1629.85,1635.6,1640.65,1654.85,472,4026,6590846.0,
20,500048,BEML LTD    ,A ,Q,2507.25,2578.8,2507.25,2558.1,2558.1,2500.75,1002,9079,23177610.0,
