,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
0,500002,ABB LTD.    ,A ,Q,4658.2,4686.8,4620.5,4673.95,4673.95,4645.1,1255,5068,23573919.0,
1,500003,AEGIS LOGIS ,A ,Q,351.95,356.4,351.0,352.35,352.35,351.0,447,10327,3641507.0,
2,500008,ARE&M       ,A ,Q,815.15,831.25,810.0,816.4,816.4,819.9,2228,49430,40520909.0,
3,500009,A.SARABHAI  ,XT,Q,38.0,38.02,37.54,38.02,38.02,38.3,118,85130,3219085.0,
4,500012,ANDHRA PETRO,X ,Q,81.99,83.0,81.01,81.51,81.51,81.8,716,156165,12841164.0,
5,500014,UTIQUE      ,X ,Q,6.85,6.85,6.55,6.69,6.7,6.69,202,39303,264577.0,
6,500016,ARUNAHTEL   ,X ,Q,15.94,16.34,15.05,16.14,16.14,15.94,63,21698,342963.0,
7,500020,BOM DYEING  ,A ,Q,149.55,155.05,148.2,153.9,153.9,149.35,2187,189781,29085982.0,
8,500023,ASIANHOTNR  ,T ,Q,226.05,226.05,226.05,226.05,226.05,226.0,1,2,452.0,
9,500027,ATUL LTD.   ,A ,Q,7077.95,7200.0,7053.05,7142.7,7177.0,7071.5,406,1245,8878203.0,
10,500028,ATV PROJECTS,XT,Q,14.61,14.61,14.61,14.61,14.61,14.33,49,21721,317343.0,
11,500031,BAJAJ ELECT.,A ,Q,1014.2,1014.2,987.9,989.05,989.05,997.3,946,5176,5150754.0,
12,500032,BAJAJHIND   ,A ,Q,27.71,28.54,27.68,27.84,27.84,27.69,3004,898568,25174865.0,
13,500033,FORCE MOTR  ,B ,Q,3635.0,3672.95,3601.0,3621.0,3621.0,3619.85,1242,12701,46141275.0,
14,500034,BAJFINANCE  ,A ,Q,7240.0,7344.0,7205.05,7326.9,7313.05,7257.7,6607,29360,214256488.0,
15,500038,BALRAM.CHINI,A ,Q,401.75,418.5,400.3,410.55,410.0,401.2,4822,319925,131824694.0,
16,500039,BANCO PROD. ,B ,Q,631.0,651.0,630.0,638.7,639.0,636.75,2164,31031,19981083.0,
17,500040,CENTURY TEXT,A ,Q,1225.0,1225.0,1204.85,1221.55,1225.0,1222.1,842,8103,9832662.0,
18,500041,BANNARI AMAN,B ,Q,2520.05,2579.25,2520.05,2550.95,2539.0,2510.4,33,71,180729.0,
19,500042,BASF INDIA  ,A ,Q,3085.0,3147.6,3053.35,3066.45,3087.4,3074.0,611,2150,6661756.0,
20,500043,BATA INDIA  ,A ,Q,1627.8,1659.75,1627.8,1651.15,1650.0,1638.8,1159,14484,23880000.0,
21,500048,BEML LTD    ,A ,Q,2826.05,2866.7,2788.55,2828.35,2828.35,2823.9,1021,9284,26278108.0,
22,500049,BHARAT ELECT,A ,Q,183.25,185.2,181.05,184.1,184.1,182.7,13844,1451179,265796219.0,
23,500052,BHANSALI ENG,B ,Q,101.26,102.85,100.53,101.02,101.02,100.61,1689,53837,5458465.0,
24,500058,BIHAR SPONGE,XT,Q,10.66,10.66,10.2,10.6,10.6,10.47,162,51382,540137.0,
25,500059,BINANI IND. ,T ,Q,16.73,16.73,15.58,16.3,16.3,16.39,49,10282,163637.0,
