,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
0,500002,ABB LTD.    ,A ,Q,4767.85,4832.05,4767.85,4789.8,4799.95,4745.45,1051,4570,21929918.0,
1,500003,AEGIS LOGIS ,A ,Q,378.5,392.5,375.55,389.85,389.85,377.85,3168,109350,42285284.0,
2,500008,ARE&M       ,A ,Q,753.95,768.0,753.95,759.4,759.4,752.0,4208,83194,63359530.0,
3,500009,A.SARABHAI  ,XT,Q,40.0,41.6,40.0,40.76,40.76,40.81,145,164842,6650864.0,
4,500012,ANDHRA PETRO,X ,Q,81.01,83.45,81.01,81.76,81.76,81.45,500,78225,6404445.0,
5,500013,ANSAL INFRAS,Z ,Q,12.9,12.9,12.1,12.9,12.9,12.29,75,207378,2666733.0,
6,500014,UTIQUE      ,X ,Q,6.69,6.9,6.44,6.65,6.65,6.5,228,38259,252934.0,
7,500016,ARUNAHTEL   ,X ,Q,16.34,16.94,15.5,15.85,16.19,16.34,90,19116,302508.0,
8,500020,BOM DYEING  ,A ,Q,156.35,158.7,156.05,156.6,156.6,156.35,2219,117325,18481907.0,
9,500023,ASIANHOTNR  ,T ,Q,232.0,232.0,222.05,222.05,222.05,223.4,4,228,50710.0,
10,500027,ATUL LTD.   ,A ,Q,6755.0,6811.0,6748.7,6793.2,6793.2,6751.3,370,1720,11679645.0,
11,500028,ATV PROJECTS,XT,Q,14.7,15.09,14.7,15.09,15.09,14.8,44,13566,201798.0,
12,500031,BAJAJ ELECT.,A ,Q,1016.05,1019.9,1005.4,1006.7,1008.95,1016.4,578,3489,3527732.0,
13,500032,BAJAJHIND   ,A ,Q,26.38,28.85,26.38,28.39,28.39,26.92,5506,3305645,92408970.0,
14,500033,FORCE MOTR  ,B ,Q,3808.25,3849.0,3780.0,3791.55,3791.55,3808.25,2175,18924,72215008.0,
15,500034,BAJFINANCE  ,A ,Q,7348.35,7350.25,7269.25,7292.95,7290.0,7306.85,1745,10160,74255204.0,
16,500038,BALRAM.CHINI,A ,Q,392.7,400.05,392.7,396.8,397.4,392.65,4450,226150,89796453.0,
17,500039,BANCO PROD. ,B ,Q,550.65,566.35,550.65,564.2,564.2,550.65,1477,29043,16224409.0,
18,500040,CENTURY TEXT,A ,Q,1306.85,1308.8,1269.15,1290.65,1290.65,1304.75,801,7470,9624909.0,
19,500041,BANNARI AMAN,B ,Q,2514.35,2519.9,2490.0,2499.45,2500.0,2498.15,54,184,460671.0,
20,500042,BASF INDIA  ,A ,Q,3005.8,3009.6,2988.85,2999.75,2989.0,3004.65,210,2295,6887625.0,
21,500043,BATA INDIA  ,A ,Q,1669.75,1687.0,1659.65,1668.2,1668.2,1664.95,2165,21125,35418684.0,
22,500048,BEML LTD    ,A ,Q,2478.15,2495.0,2432.25,2449.6,2449.6,2455.9,799,5665,13924287.0,
23,500049,BHARAT ELECT,A ,Q,160.3,163.25,159.45,161.2,161.2,158.7,6806,753847,121752833.0,
24,500052,BHANSALI ENG,B ,Q,94.54,95.9,93.71,94.41,94.41,94.54,2688,113065,10740148.0,
25,500058,BIHAR SPONGE,XT,Q,10.15,10.49,9.8,10.0,10.0,10.15,183,64693,648932.0,
26,500059,BINANI IND. ,T ,Q,16.09,16.09,15.6,15.7,15.7,15.8,15,13237,207809.0,
27,500060,BIRLACABLE  ,B ,Q,268.05,272.05,263.85,264.55,264.55,267.05,375,5687,1517822.0,
28,500067,BLUE STAR   ,A ,Q,1010.05,1010.05,991.1,997.35,997.35,1004.75,355,2037,2032803.0,
29,500068,DISA INDIA  ,B ,Q,14598.0,14599.9,14277.05,14452.85,14450.0,14414.0,29,117,1683585.0,
30,500069,QUESTCAP    ,X ,Q,289.95,310.0,284.5,308.1,309.95,287.8,160,12916,3939807.0,
31,500074,BPL LTD.    ,T ,Q,82.0,82.87,82.0,82.87,82.87,81.25,28,4555,376216.0,
32,500078,OAL         ,B ,Q,385.0,385.0,346.15,353.7,355.4,347.75,105,735,260146.0,
33,500083,CENTURY EXT ,B ,Q,18.59,19.25,17.97,18.72,18.74,18.0,684,121188,2258481.0,
34,500084,CESC LTD.   ,A ,Q,120.99,121.64,117.55,118.11,118.11,119.99,2661,270620,32296367.0,
35,500085,CHAMBAL FERT,A ,Q,343.55,350.0,342.0,348.2,350.0,341.75,1918,91679,31804450.0,
36,500086,EXIDE IND.  ,A ,Q,291.05,294.35,290.45,293.35,293.35,289.85,1747,59641,17468462.0,
37,500087,CIPLA LTD.  ,A ,Q,1218.85,1218.85,1195.15,1202.6,1202.6,1219.35,4389,54637,65712166.0,
38,500089,DIC INDIA   ,B ,Q,518.15,522.6,491.2,520.0,520.4,495.8,287,1356,697600.0,
39,500092,CRISIL LTD  ,A ,Q,4250.0,4261.85,4210.2,4234.95,4243.55,4237.75,416,1052,4449851.0,
40,500093,CGPOWER     ,A ,Q,455.4,455.55,446.6,451.55,452.0,454.8,1876,64086,28887144.0,
41,500096,DABUR (I)   ,A ,Q,548.65,551.3,545.0,550.5,550.5,547.55,3011,64402,35332662.0,
42,500097,DALMIASUG   ,B ,Q,395.25,405.0,392.3,403.4,403.2,392.4,1284,21215,8484065.0,
43,500101,ARVIND Ltd  ,A ,Q,226.0,227.9,222.05,222.8,222.8,225.1,1834,70236,15725976.0,
44,500103,BHEL        ,A ,Q,177.5,181.45,176.8,179.75,179.75,176.75,14570,1923280,345358762.0,
45,500104,HIND.PETRO  ,A ,Q,380.0,382.1,358.5,361.0,361.0,377.45,5535,412233,151113612.0,
46,500106,IFCI LTD    ,A ,Q,27.33,28.8,27.15,28.29,28.29,27.15,9865,7773852,219058154.0,
47,500108,MAHA.TELE   ,A ,Q,30.33,31.5,30.33,30.91,30.91,30.44,2148,736689,22809063.0,
48,500109,MRPL        ,A ,Q,128.4,129.05,126.15,126.6,126.6,128.05,2649,214137,27324115.0,
49,500110,CHENNAI PET.,A ,Q,685.25,695.05,663.0,670.55,670.55,679.95,1830,42330,28882506.0,
50,500111,REL.CAP.    ,T ,Q,12.82,12.82,11.8,12.55,12.55,12.21,786,356749,4434707.0,
51,500112,STATE BANK  ,A ,Q,614.95,619.8,613.25,614.35,614.35,614.0,19733,820051,504643485.0,
