,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
0,500002,ABB LTD.    ,A ,Q,4914.9,4914.9,4774.25,4781.25,4781.25,4869.65,888,4196,20180150.0,
1,500003,AEGIS LOGIS ,A ,Q,366.3,369.8,361.3,364.05,364.4,365.65,1896,66120,24217209.0,
2,500008,ARE&M       ,A ,Q,800.0,806.2,799.0,802.65,802.65,795.8,1586,27996,22467106.0,
3,500009,A.SARABHAI  ,XT,Q,41.49,43.32,41.48,43.32,43.32,41.26,282,185530,8014380.0,
4,500012,ANDHRA PETRO,X ,Q,102.7,103.9,99.03,99.54,99.54,101.68,1303,273009,27584070.0,
5,500014,UTIQUE      ,X ,Q,9.12,9.25,8.85,8.88,8.99,8.95,416,147006,1337211.0,
6,500016,ARUNAHTEL   ,X ,Q,22.66,23.38,20.53,20.81,20.94,22.3,615,241099,5212252.0,
7,500020,BOM DYEING  ,A ,Q,160.0,164.15,157.6,159.55,159.55,157.6,4218,346172,55877968.0,
8,500023,ASIANHOTNR  ,T ,Q,198.15,204.7,195.0,195.2,195.0,198.15,31,378,74898.0,
9,500027,ATUL LTD.   ,A ,Q,6899.45,6903.4,6842.9,6860.7,6853.5,6860.95,258,594,4086562.0,
10,500028,ATV PROJECTS,XT,Q,18.72,18.72,17.85,18.72,18.72,17.83,320,198899,3716020.0,
11,500031,BAJAJ ELECT.,A ,Q,1066.55,1066.55,1033.05,1038.15,1041.1,1057.2,350,2441,2556778.0,
12,500032,BAJAJHIND   ,A ,Q,28.07,28.18,27.74,27.79,27.79,28.02,4928,1624869,45423790.0,
13,500033,FORCE MOTR  ,A ,Q,3687.7,3719.0,3636.0,3672.35,3672.35,3693.85,1372,8589,31575068.0,
14,500034,BAJFINANCE  ,A ,Q,7675.85,7717.8,7615.0,7655.35,7655.35,7670.7,7543,35033,268251113.0,
15,500038,BALRAM.CHINI,A ,Q,398.85,399.1,389.75,391.2,391.0,394.05,1525,61268,24058030.0,
16,500039,BANCO PROD. ,B ,Q,688.15,695.7,675.65,689.9,684.05,684.75,1846,47990,33119016.0,
17,500040,CENTURY TEXT,A ,Q,1547.2,1550.0,1480.2,1492.4,1491.0,1546.25,1128,11826,17939300.0,
18,500041,BANNARI AMAN,B ,Q,2541.9,2548.75,2529.45,2535.4,2535.4,2540.85,99,310,784923.0,
19,500042,BASF INDIA  ,A ,Q,3044.95,3049.95,2975.0,2985.5,2985.5,3050.25,428,1757,5283214.0,
20,500043,BATA INDIA  ,A ,Q,1589.8,1589.8,1570.8,1576.75,1576.75,1577.4,1258,9883,15583931.0,
21,500048,BEML LTD    ,A ,Q,3176.85,3223.55,3151.8,3211.5,3198.3,3149.95,2098,15806,50354483.0,
22,500049,BHARAT ELECT,A ,Q,185.8,185.8,183.1,183.55,183.55,184.35,10338,670513,123422356.0,
23,500052,BHANSALI ENG,B ,Q,113.8,117.4,113.8,114.7,114.7,111.25,4983,556458,63927905.0,
24,500058,BIHAR SPONGE,XT,Q,12.2,12.64,12.2,12.64,12.64,12.04,482,430735,5434480.0,
25,500059,BINANI IND. ,T ,Q,20.73,20.73,20.73,20.73,20.73,20.33,46,53553,1110153.0,
26,500060,BIRLACABLE  ,B ,Q,281.2,282.0,277.25,278.2,278.2,278.5,240,8024,2242336.0,
27,500067,BLUE STAR   ,A ,Q,996.1,1031.75,996.1,1022.5,1022.5,996.25,3786,36316,36941193.0,
