,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
0,500002,ABB LTD.    ,A ,Q,4782.35,4845.55,4738.9,4789.6,4789.6,4767.4,1269,6517,31284179.0,
1,500003,AEGIS LOGIS ,A ,Q,396.05,396.05,384.1,386.0,384.7,394.35,1017,36128,14121020.0,
2,500008,ARE&M       ,A ,Q,782.75,785.0,768.25,770.1,770.1,776.15,1131,20315,15695856.0,
3,500009,A.SARABHAI  ,XT,Q,39.94,39.94,39.7,39.7,39.7,39.16,165,125704,5020036.0,
4,500012,ANDHRA PETRO,X ,Q,80.85,80.85,79.1,79.78,79.78,80.11,626,78226,6240056.0,
5,500014,UTIQUE      ,X ,Q,6.68,7.0,6.56,6.66,6.62,6.54,181,41542,278882.0,
6,500016,ARUNAHTEL   ,X ,Q,15.92,16.5,15.75,15.76,15.75,16.23,95,27025,430514.0,
7,500020,BOM DYEING  ,A ,Q,155.0,155.0,151.85,152.4,152.15,153.05,2377,134741,20639962.0,
8,500023,ASIANHOTNR  ,T ,Q,223.05,225.4,219.5,219.5,219.5,230.0,4,56,12480.0,
9,500027,ATUL LTD.   ,A ,Q,6844.0,6970.7,6844.0,6960.05,6960.0,6847.3,371,1181,8170783.0,
10,500028,ATV PROJECTS,XT,Q,15.3,15.3,15.3,15.3,15.3,15.0,68,25772,394311.0,
11,500031,BAJAJ ELECT.,A ,Q,1022.5,1022.5,1001.0,1005.15,1005.15,1013.4,739,5907,5967877.0,
12,500032,BAJAJHIND   ,A ,Q,28.38,28.71,27.81,28.11,28.11,27.92,5522,2394044,67479587.0,
13,500033,FORCE MOTR  ,B ,Q,3656.6,3706.0,3641.0,3650.3,3650.3,3656.2,1975,14782,54281730.0,
14,500034,BAJFINANCE  ,A ,Q,7353.0,7508.0,7301.0,7467.45,7467.45,7258.5,15826,112497,838235121.0,
15,500038,BALRAM.CHINI,A ,Q,382.2,390.4,379.35,386.35,386.95,378.75,3929,225207,86675810.0,
16,500039,BANCO PROD. ,B ,Q,587.95,589.6,573.95,580.7,580.1,581.55,1071,17146,9917733.0,
17,500040,CENTURY TEXT,A ,Q,1291.2,1308.3,1223.15,1243.15,1243.15,1289.1,988,15375,19484391.0,
18,500041,BANNARI AMAN,B ,Q,2478.6,2574.0,2470.0,2568.2,2555.05,2473.75,128,246,620905.0,
19,500042,BASF INDIA  ,A ,Q,2963.2,2971.15,2941.45,2950.45,2950.0,2930.85,211,618,1824969.0,
20,500043,BATA INDIA  ,A ,Q,1649.45,1664.05,1630.0,1652.75,1651.65,1635.6,1117,7953,13127107.0,
21,500048,BEML LTD    ,A ,Q,2598.7,2605.0,2551.0,2566.4,2566.4,2558.1,1502,13215,34124705.0,
22,500049,BHARAT ELECT,A ,Q,163.5,164.35,162.65,163.9,163.9,162.8,4363,420684,68774256.0,
23,500052,BHANSALI ENG,B ,Q,104.84,106.93,103.0,105.17,105.17,103.26,7404,754262,79047307.0,
24,500058,BIHAR SPONGE,XT,Q,10.3,10.3,9.5,10.06,10.15,9.97,130,31706,317466.0,
25,500059,BINANI IND. ,T ,Q,15.1,15.4,15.1,15.2,15.2,15.39,8,3399,51949.0,
