,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
0,500002,ABB LTD.    ,A ,Q,4768.9,4824.6,4722.7,4738.45,4748.25,4768.9,721,3490,16649256.0,
1,500003,AEGIS LOGIS ,A ,Q,368.2,368.2,357.0,357.85,358.9,364.0,1485,35677,12858118.0,
2,500008,ARE&M       ,A ,Q,777.1,819.55,768.3,811.15,811.15,769.6,12149,266825,212668679.0,
3,500009,A.SARABHAI  ,XT,Q,38.46,38.75,38.45,38.45,38.45,39.23,133,76950,2963432.0,
4,500012,ANDHRA PETRO,X ,Q,80.4,80.55,79.01,79.88,79.88,79.56,407,57928,4631168.0,
5,500014,UTIQUE      ,X ,Q,6.57,6.9,6.57,6.73,6.69,6.65,185,29114,196443.0,
6,500016,ARUNAHTEL   ,X ,Q,16.0,16.27,15.72,15.99,15.99,15.63,75,42088,675291.0,
7,500020,BOM DYEING  ,A ,Q,154.0,154.85,150.05,151.8,151.45,152.6,1221,47940,7305282.0,
8,500023,ASIANHOTNR  ,T ,Q,233.75,233.75,225.15,225.15,225.15,237.0,4,55,12752.0,
9,500027,ATUL LTD.   ,A ,Q,7080.0,7082.0,6989.05,7029.65,7029.65,7033.95,266,7169,50546330.0,
10,500028,ATV PROJECTS,XT,Q,13.8,14.05,13.8,14.05,14.05,13.78,55,29983,421007.0,
11,500031,BAJAJ ELECT.,A ,Q,1008.95,1015.0,998.9,1012.55,1015.0,991.75,329,3105,3129842.0,
12,500032,BAJAJHIND   ,A ,Q,27.71,28.53,27.71,28.04,28.04,27.74,2859,995449,28003830.0,
13,500033,FORCE MOTR  ,B ,Q,3740.95,3749.95,3625.0,3641.25,3641.25,3712.5,1250,10588,39039365.0,
14,500034,BAJFINANCE  ,A ,Q,7227.0,7320.0,7190.8,7235.55,7235.55,7162.95,7997,50823,368584067.0,
15,500038,BALRAM.CHINI,A ,Q,389.15,397.2,389.1,396.15,396.15,388.45,4331,188783,74302331.0,
16,500039,BANCO PROD. ,B ,Q,656.15,675.5,645.05,650.3,654.95,651.75,3757,64736,42850395.0,
17,500040,CENTURY TEXT,A ,Q,1227.1,1240.0,1209.25,1229.5,1225.0,1220.95,634,6494,7947588.0,
18,500041,BANNARI AMAN,B ,Q,2533.45,2542.75,2505.55,2530.0,2530.0,2514.0,32,92,232077.0,
19,500042,BASF INDIA  ,A ,Q,3087.0,3184.0,3035.55,3067.9,3065.3,3078.95,521,2011,6246524.0,
20,500043,BATA INDIA  ,A ,Q,1630.3,1641.4,1614.25,1639.1,1638.7,1617.85,653,6046,9837357.0,
21,500048,BEML LTD    ,A ,Q,2876.9,2914.55,2814.45,2870.55,2867.0,2874.95,1134,162832,461081996.0,
22,500049,BHARAT ELECT,A ,Q,184.4,184.9,179.15,180.15,180.15,181.95,19792,1945444,354067217.0,
23,500052,BHANSALI ENG,B ,Q,103.71,105.42,100.93,102.14,102.14,103.49,3438,226735,23331248.0,
24,500058,BIHAR SPONGE,XT,Q,10.59,10.64,10.06,10.19,10.29,10.38,181,22415,229855.0,
25,500059,BINANI IND. ,T ,Q,15.0,16.06,15.0,16.06,16.06,15.3,25,4533,72702.0,
26,500060,BIRLACABLE  ,B ,Q,298.8,298.8,285.4,286.3,285.4,290.85,475,6146,1773803.0,
27,500067,BLUE STAR   ,A ,Q,950.9,955.0,938.0,951.15,943.45,945.55,331,28801,27351999.0,
28,500068,DISA INDIA  ,B ,Q,16095.0,16095.0,15675.95,15870.7,15810.05,15993.7,30,68,1079198.0,
29,500069,QUESTCAP    ,X ,Q,378.0,409.45,378.0,382.2,382.2,389.3,20,138,54118.0,
30,500074,BPL LTD.    ,T ,Q,89.0,89.98,84.55,85.32,86.4,87.33,235,26483,2287981.0,
31,500078,OAL         ,B ,Q,359.9,396.35,349.5,390.75,388.05,352.8,857,8889,3385054.0,
32,500083,CENTURY EXT ,B ,Q,20.31,20.5,19.3,19.4,19.4,19.97,1137,182878,3627595.0,
33,500084,CESC LTD.   ,A ,Q,124.01,127.45,122.43,126.01,126.01,123.41,9213,1161520,145281173.0,
34,500085,CHAMBAL FERT,A ,Q,373.85,374.9,361.35,366.3,366.6,371.3,5831,225796,83280707.0,
35,500086,EXIDE IND.  ,A ,Q,298.95,301.8,295.65,300.9,300.9,296.5,5537,242277,72480046.0,
36,500087,CIPLA LTD.  ,A ,Q,1248.35,1250.0,1236.6,1239.45,1239.45,1245.35,3169,92389,114844429.0,
37,500089,DIC INDIA   ,B ,Q,511.0,519.5,499.65,507.1,507.1,512.1,148,849,429698.0,
38,500092,CRISIL LTD  ,A ,Q,4417.65,4417.65,4294.9,4317.85,4327.9,4389.45,542,1366,5959311.0,
39,500093,CGPOWER     ,A ,Q,468.35,468.8,457.0,458.4,458.4,465.1,2313,62676,28869160.0,
40,500096,DABUR (I)   ,A ,Q,530.5,536.15,530.2,534.75,535.0,530.5,2758,35834,19103691.0,
41,500097,DALMIASUG   ,B ,Q,404.95,408.15,402.05,404.0,402.65,402.5,412,7411,3005610.0,
42,500101,ARVIND Ltd  ,A ,Q,266.35,269.75,258.0,260.55,260.2,266.1,1338,25322,6698750.0,
43,500103,BHEL        ,A ,Q,183.95,185.65,180.0,182.0,182.0,182.25,12792,1598550,292722530.0,
44,500104,HIND.PETRO  ,A ,Q,385.0,387.15,376.85,381.8,381.8,384.15,4794,287247,109746300.0,
45,500106,IFCI LTD    ,A ,Q,28.35,28.56,27.65,28.0,28.0,28.17,4677,3014696,84753264.0,
46,500108,MAHA.TELE   ,A ,Q,33.3,34.08,32.2,32.61,32.61,33.21,2487,1202766,40017506.0,
47,500109,MRPL        ,A ,Q,129.65,132.35,129.4,131.05,131.05,129.65,2342,209292,27411957.0,
