,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
0,500002,ABB LTD.    ,A ,Q,4751.9,4765.5,4626.75,4645.1,4645.1,4738.45,1516,8908,41644703.0,
1,500003,AEGIS LOGIS ,A ,Q,353.2,359.8,350.2,351.0,350.85,357.85,619,14517,5149516.0,
2,500008,ARE&M       ,A ,Q,819.35,823.4,805.0,819.9,819.9,811.15,3924,109422,89119379.0,
3,500009,A.SARABHAI  ,XT,Q,38.45,38.45,38.02,38.3,38.3,38.45,83,31803,1216644.0,
4,500012,ANDHRA PETRO,X ,Q,79.88,84.0,79.22,81.8,81.8,79.88,1356,327366,26983021.0,
5,500014,UTIQUE      ,X ,Q,6.86,6.9,6.61,6.69,6.66,6.73,195,27088,181612.0,
6,500016,ARUNAHTEL   ,X ,Q,16.26,16.26,15.5,15.94,15.9,15.99,82,20232,318686.0,
7,500020,BOM DYEING  ,A ,Q,152.05,152.8,148.8,149.35,149.5,151.8,1288,48286,7258994.0,
8,500023,ASIANHOTNR  ,T ,Q,225.3,226.0,225.3,226.0,226.0,225.15,3,61,13768.0,
9,500027,ATUL LTD.   ,A ,Q,7047.55,7079.0,6990.0,7071.5,7053.0,7029.65,186,811,5709214.0,
10,500028,ATV PROJECTS,XT,Q,14.33,14.33,14.33,14.33,14.33,14.05,49,28899,414122.0,
11,500031,BAJAJ ELECT.,A ,Q,1001.0,1020.55,995.3,997.3,1001.85,1012.55,333,3790,3802675.0,
12,500032,BAJAJHIND   ,A ,Q,28.42,28.42,27.55,27.69,27.69,28.04,4809,1366923,38029434.0,
13,500033,FORCE MOTR  ,B ,Q,3693.0,3693.0,3601.0,3619.85,3619.85,3641.25,1147,12927,47131704.0,
14,500034,BAJFINANCE  ,A ,Q,7237.15,7291.35,7205.0,7257.7,7257.7,7235.55,6336,29134,211526378.0,
15,500038,BALRAM.CHINI,A ,Q,399.8,403.0,394.2,401.2,401.5,396.15,2252,167200,66708411.0,
16,500039,BANCO PROD. ,B ,Q,649.25,652.5,631.0,636.75,631.0,650.3,2975,42382,27234298.0,
17,500040,CENTURY TEXT,A ,Q,1231.3,1231.3,1218.05,1222.1,1218.1,1229.5,427,4532,5547880.0,
18,500041,BANNARI AMAN,B ,Q,2535.0,2535.0,2504.5,2510.4,2510.0,2530.0,54,103,259763.0,
19,500042,BASF INDIA  ,A ,Q,3085.0,3195.0,3065.05,3074.0,3078.15,3067.9,816,3281,10260296.0,
20,500043,BATA INDIA  ,A ,Q,1666.0,1666.0,1627.95,1638.8,1636.15,1639.1,633,4222,6915353.0,
21,500048,BEML LTD    ,A ,Q,2864.9,2913.3,2801.0,2823.9,2823.9,2870.55,2427,24006,68620928.0,
22,500049,BHARAT ELECT,A ,Q,181.65,184.2,180.8,182.7,182.7,180.15,6336,767952,140100988.0,
23,500052,BHANSALI ENG,B ,Q,102.68,104.4,99.85,100.61,100.61,102.14,3152,177868,17983168.0,
24,500058,BIHAR SPONGE,XT,Q,10.01,10.5,10.01,10.47,10.5,10.19,251,145816,1499207.0,
25,500059,BINANI IND. ,T ,Q,16.85,16.85,15.67,16.39,16.39,16.06,53,11455,189301.0,
26,500060,BIRLACABLE  ,B ,Q,290.0,290.75,280.4,281.8,284.0,286.3,396,5832,1655070.0,
27,500067,BLUE STAR   ,A ,Q,958.85,959.3,945.1,948.0,951.4,951.15,790,6709,6382184.0,
28,500068,DISA INDIA  ,B ,Q,16050.0,16050.0,15670.0,15861.4,15725.05,15870.7,40,89,1409532.0,
29,500069,QUESTCAP    ,X ,Q,404.0,404.0,375.0,377.15,385.0,382.2,60,2045,803828.0,
30,500074,BPL LTD.    ,T ,Q,85.0,85.5,83.1,83.58,85.0,85.32,63,9032,765523.0,
31,500078,OAL         ,B ,Q,398.65,410.0,389.75,396.05,391.5,390.75,1386,16088,6437733.0,
32,500083,CENTURY EXT ,B ,Q,19.42,19.59,18.78,18.81,18.98,19.4,783,143062,2730516.0,
33,500084,CESC LTD.   ,A ,Q,129.0,132.8,128.8,129.84,129.84,126.01,10468,1567436,204280897.0,
34,500085,CHAMBAL FERT,A ,Q,367.9,384.2,366.3,381.6,381.6,366.3,3167,125438,47233236.0,
35,500086,EXIDE IND.  ,A ,Q,302.0,309.0,300.05,308.0,308.0,300.9,3312,148875,45261377.0,
36,500087,CIPLA LTD.  ,A ,Q,1244.85,1263.3,1240.7,1260.4,1260.4,1239.45,2773,57286,71609226.0,
37,500089,DIC INDIA   ,B ,Q,504.65,519.65,495.0,498.5,496.1,507.1,97,703,355001.0,
38,500092,CRISIL LTD  ,A ,Q,4398.85,4398.85,4251.35,4269.95,4251.5,4317.85,485,1963,8472677.0,
39,500093,CGPOWER     ,A ,Q,456.45,463.7,450.15,452.55,452.55,458.4,2909,86631,39682762.0,
40,500096,DABUR (I)   ,A ,Q,535.0,545.2,534.45,543.2,543.2,534.75,5074,120724,65239721.0,
41,500097,DALMIASUG   ,B ,Q,407.5,407.5,402.0,403.75,403.75,404.0,692,12701,5129441.0,
42,500101,ARVIND Ltd  ,A ,Q,263.95,263.95,257.5,258.55,258.15,260.55,742,19627,5096572.0,
43,500103,BHEL        ,A ,Q,182.7,193.9,182.15,192.6,192.6,182.0,45291,6872075,1304417395.0,
44,500104,HIND.PETRO  ,A ,Q,386.45,425.45,382.3,417.8,417.8,381.8,23535,1595355,655281435.0,
45,500106,IFCI LTD    ,A ,Q,28.08,29.49,27.65,28.77,28.77,28.0,9113,6686749,191363278.0,
46,500108,MAHA.TELE   ,A ,Q,32.78,32.81,31.4,31.6,31.6,32.61,2591,881901,28252838.0,
47,500109,MRPL        ,A ,Q,131.05,136.0,131.05,133.15,133.15,131.05,5688,666963,89203182.0,
