,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
3928,544066,SUNCLAY     ,T ,Q,1730.0,1730.0,1604.6,1616.5,1616.5,1689.05,252,8925,14506294.0,
3929,544067,INNOVACAP   ,B ,Q,565.1,578.65,547.1,549.6,549.85,565.4,2536,46540,26281072.0,
3930,544072,AIKPIPES    ,MT,Q,108.0,110.25,99.75,110.25,110.25,105.0,199,337600,35986080.0,
3931,544073,MCPL        ,MT,Q,82.0,84.0,77.9,77.9,77.9,0.0,254,672000,54462180.0,
3932,544074,SBVCL       ,MT,Q,190.0,199.5,190.0,199.5,199.5,0.0,494,795600,155256600.0,
3933,555555,SENSEXIETF  ,A ,Q,819.68,819.68,797.0,800.15,800.23,803.18,50,359,287456.0,
3934,570001,TATAMTRTDVR ,A ,Q,520.35,525.0,515.5,517.9,517.9,520.3,1543,62411,32370200.0,
3935,570002,FELDVR      ,T ,Q,5.6,5.78,5.6,5.7,5.7,5.61,52,15966,90745.0,
3936,570004,JISLBNDVR   ,B ,Q,33.74,33.74,32.55,33.2,33.29,33.25,130,10255,340010.0,
3937,570005,GATECHDVR   ,B ,Q,7.68,8.48,7.68,8.42,8.42,8.08,455,1092928,8797118.0,
3938,590003,KARUR VY(PS ,B ,Q,168.2,169.75,165.75,167.5,167.5,168.2,2024,100311,16792687.0,
3939,590005,TIDE WATE(PS,B ,Q,1397.0,1401.8,1381.55,1388.35,1388.35,1394.3,505,3344,4650164.0,
3940,590006,AMRUTANJAN  ,B ,Q,624.8,629.5,616.0,619.85,619.35,623.25,265,2651,1645423.0,
3941,590013,XPRO INDI(PS,B ,Q,1030.1,1157.9,1016.0,1136.4,1130.0,1032.45,4238,36407,40350487.0,
3942,590018,HISARMET(PS ,B ,Q,199.1,200.05,197.8,199.7,199.6,197.85,90,1388,275813.0,
3943,590021,BHARAT RA(PS,B ,Q,8900.0,9064.3,8900.0,9024.9,9001.0,9007.45,20,31,278889.0,
3944,590022,EASTER SI(PS,T ,Q,2.47,2.47,2.47,2.47,2.47,2.44,1,5,12.0,
3945,590024,FERT CHE(PS ,B ,Q,820.95,831.85,814.45,819.6,819.6,821.1,2282,60391,49598555.0,
3946,590025,GINNI FIL(PS,B ,Q,28.8,29.34,28.45,29.02,29.0,28.76,114,12177,350915.0,
3947,590030,SOUTH PET(PS,B ,Q,84.62,85.85,83.64,84.11,84.25,84.09,2353,367833,31158070.0,
