,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
0,500002,ABB LTD.    ,A ,Q,4784.95,4841.35,4750.55,4806.7,4806.7,4752.95,1240,4268,20494475.0,
1,500003,AEGIS LOGIS ,A ,Q,361.15,372.45,361.15,368.45,366.6,363.5,1995,53899,19850901.0,
2,500008,ARE&M       ,A ,Q,820.85,824.95,797.05,804.1,802.45,815.2,1959,41052,33245601.0,
3,500009,A.SARABHAI  ,X ,Q,57.45,57.45,50.11,53.8,53.8,51.98,4762,1548273,82923560.0,
4,500012,ANDHRA PETRO,X ,Q,98.81,101.5,93.5,97.48,97.48,100.46,1704,312808,30300329.0,
5,500014,UTIQUE      ,X ,Q,8.48,8.7,8.35,8.52,8.56,8.44,358,93573,799442.0,
6,500016,ARUNAHTEL   ,X ,Q,19.3,19.85,18.1,18.51,18.55,19.19,180,48150,921198.0,
7,500020,BOM DYEING  ,A ,Q,162.85,164.45,155.45,158.1,158.1,162.05,3096,210485,33732732.0,
8,500023,ASIANHOTNR  ,T ,Q,204.95,204.95,196.6,203.0,203.0,204.95,8,132,26079.0,
9,500027,ATUL LTD.   ,A ,Q,6885.0,6894.95,6756.2,6769.65,6760.0,6866.35,277,635,4328908.0,
10,500028,ATV PROJECTS,XT,Q,20.63,20.63,20.25,20.63,20.63,19.65,417,309120,6372212.0,
11,500031,BAJAJ ELECT.,A ,Q,1028.85,1059.7,1020.0,1057.1,1056.35,1026.25,577,5386,5634345.0,
12,500032,BAJAJHIND   ,A ,Q,27.4,27.87,26.5,27.17,27.17,27.41,8986,2727846,74129636.0,
13,500033,FORCE MOTR  ,A ,Q,3714.0,3734.0,3580.85,3594.5,3594.5,3722.35,2247,26309,95500365.0,
14,500034,BAJFINANCE  ,A ,Q,7475.0,7613.75,7430.0,7472.7,7472.7,7476.5,5542,41869,313868431.0,
15,500038,BALRAM.CHINI,A ,Q,390.05,395.95,386.25,392.7,392.7,391.3,3738,173295,67755724.0,
16,500039,BANCO PROD. ,B ,Q,688.05,719.0,684.45,690.3,687.15,686.35,6780,141153,99223632.0,
17,500040,CENTURY TEXT,A ,Q,1447.15,1474.0,1424.05,1433.35,1430.1,1446.6,622,5889,8493647.0,
18,500041,BANNARI AMAN,B ,Q,2558.95,2601.1,2555.0,2560.0,2558.55,2611.65,42,124,318277.0,
19,500042,BASF INDIA  ,A ,Q,3020.1,3036.05,2938.85,2956.65,2952.05,2992.0,283,968,2883664.0,
20,500043,BATA INDIA  ,A ,Q,1591.55,1591.75,1568.4,1578.65,1578.0,1580.35,555,4256,6725123.0,
21,500048,BEML LTD    ,A ,Q,3158.85,3178.0,3119.05,3145.25,3145.25,3137.0,1639,11884,37381593.0,
22,500049,BHARAT ELECT,A ,Q,189.15,190.2,185.05,186.75,186.75,188.65,12815,1087244,204251664.0,
23,500052,BHANSALI ENG,B ,Q,117.15,117.95,111.1,114.0,114.35,116.1,2204,248325,28547537.0,
24,500058,BIHAR SPONGE,XT,Q,13.93,13.93,13.93,13.93,13.93,13.27,155,132207,1841643.0,
