,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
0,500002,ABB LTD.    ,A ,Q,4732.05,4863.8,4732.05,4771.65,4771.65,4806.7,866,3293,15829610.0,
1,500003,AEGIS LOGIS ,A ,Q,356.15,374.45,356.15,370.6,370.65,368.45,1604,60489,22410854.0,
2,500008,ARE&M       ,A ,Q,799.15,809.15,791.85,796.2,796.2,804.1,4841,74405,59657309.0,
3,500009,A.SARABHAI  ,X ,Q,52.05,52.4,48.1,50.74,50.74,53.8,1601,431462,21977926.0,
4,500012,ANDHRA PETRO,X ,Q,95.05,96.98,93.0,93.94,93.94,97.48,1236,188363,17809498.0,
5,500014,UTIQUE      ,X ,Q,8.35,8.88,8.0,8.28,8.26,8.52,350,63977,541710.0,
6,500016,ARUNAHTEL   ,X ,Q,18.29,20.05,17.8,19.09,19.25,18.51,160,65866,1243924.0,
7,500020,BOM DYEING  ,A ,Q,155.9,159.0,154.0,156.15,156.15,158.1,1676,137448,21503492.0,
8,500023,ASIANHOTNR  ,T ,Q,203.0,203.0,195.95,196.05,199.0,203.0,7,78,15302.0,
9,500027,ATUL LTD.   ,A ,Q,6730.0,6749.95,6615.0,6628.8,6620.05,6769.65,957,2913,19462909.0,
10,500028,ATV PROJECTS,XT,Q,20.8,21.64,19.6,21.54,21.2,20.63,725,319952,6591133.0,
11,500031,BAJAJ ELECT.,A ,Q,1054.9,1062.0,1029.9,1033.85,1039.3,1057.1,458,3670,3862264.0,
12,500032,BAJAJHIND   ,A ,Q,26.97,27.12,26.5,26.62,26.62,27.17,6816,1776674,47663298.0,
13,500033,FORCE MOTR  ,A ,Q,3600.0,3633.95,3536.0,3554.95,3554.95,3594.5,1857,19372,69064668.0,
14,500034,BAJFINANCE  ,A ,Q,7300.0,7475.0,7300.0,7357.15,7357.15,7472.7,8370,47683,352259319.0,
15,500038,BALRAM.CHINI,A ,Q,390.85,391.85,385.05,385.45,385.45,392.7,3979,113449,43993812.0,
16,500039,BANCO PROD. ,B ,Q,689.9,700.0,677.45,682.8,684.45,690.3,7164,110637,76569318.0,
17,500040,CENTURY TEXT,A ,Q,1381.9,1425.3,1381.9,1397.4,1388.4,1433.35,553,5878,8243788.0,
18,500041,BANNARI AMAN,B ,Q,2555.05,2566.75,2550.0,2562.6,2562.6,2560.0,11,30,76608.0,
19,500042,BASF INDIA  ,A ,Q,2956.25,3002.45,2940.0,2951.3,2944.2,2956.65,230,763,2261211.0,
20,500043,BATA INDIA  ,A ,Q,1567.9,1577.7,1540.0,1543.9,1543.9,1578.65,1949,11309,17614338.0,
21,500048,BEML LTD    ,A ,Q,3139.95,3160.0,3046.55,3084.8,3101.0,3145.25,1548,12758,39648865.0,
22,500049,BHARAT ELECT,A ,Q,186.6,188.5,183.7,185.7,185.7,186.75,6809,599156,111429916.0,
23,500052,BHANSALI ENG,B ,Q,112.65,113.3,109.2,110.4,110.4,114.0,2921,281291,31308819.0,
24,500058,BIHAR SPONGE,XT,Q,14.62,14.62,14.62,14.62,14.62,13.93,244,258266,3775848.0,
25,500059,BINANI IND. ,T ,Q,19.86,19.86,19.86,19.86,19.86,20.26,21,14748,292895.0,
26,500060,BIRLACABLE  ,B ,Q,272.55,274.95,270.0,270.8,270.8,272.5,576,10684,2903371.0,
27,500067,BLUE STAR   ,A ,Q,1040.0,1067.75,1037.45,1060.5,1060.5,1050.3,1050,8066,8515851.0,
28,500068,DISA INDIA  ,B ,Q,14850.0,15187.75,14850.0,15018.65,15186.75,15176.5,9,9,134474.0,
29,500069,QUESTCAP    ,X ,Q,375.0,385.0,373.0,379.85,385.0,367.65,48,1061,399614.0,
30,500074,BPL LTD.    ,T ,Q,87.99,90.7,86.0,87.0,87.0,88.77,144,15970,1391838.0,
31,500078,OAL         ,B ,Q,398.75,400.0,385.0,387.5,387.1,398.75,304,2461,968788.0,
32,500083,CENTURY EXT ,B ,Q,24.01,26.9,23.99,26.9,26.9,24.46,1682,626784,16567171.0,
33,500084,CESC LTD.   ,A ,Q,138.0,141.4,136.1,138.4,138.4,138.85,5221,575387,80050137.0,
34,500085,CHAMBAL FERT,A ,Q,384.0,387.0,382.55,384.75,384.75,386.8,4621,226189,87082130.0,
35,500086,EXIDE IND.  ,A ,Q,324.85,324.85,314.4,319.3,319.15,325.65,3714,146761,46998532.0,
36,500087,CIPLA LTD.  ,A ,Q,1301.3,1311.4,1283.35,1293.5,1293.5,1301.45,1727,26595,34471579.0,
37,500089,DIC INDIA   ,B ,Q,516.1,540.3,516.1,528.9,523.1,535.85,270,2746,1462532.0,
38,500092,CRISIL LTD  ,A ,Q,4046.15,4107.0,3982.25,4099.75,4107.0,4070.65,901,3367,13620863.0,
39,500093,CGPOWER     ,A ,Q,452.3,474.0,448.4,463.25,463.25,452.5,4229,117879,54279134.0,
40,500096,DABUR (I)   ,A ,Q,558.75,558.75,546.1,549.45,549.45,558.95,5419,68597,37839840.0,
41,500097,DALMIASUG   ,B ,Q,399.0,400.05,394.05,395.15,396.05,399.1,270,4331,1719946.0,
42,500101,ARVIND Ltd  ,A ,Q,281.15,295.7,273.45,278.45,278.45,289.35,4767,134604,38198534.0,
43,500103,BHEL        ,A ,Q,200.8,213.2,200.05,206.65,206.65,202.9,34932,5083351,1058013837.0,
44,500104,HIND.PETRO  ,A ,Q,450.1,458.6,446.2,449.05,449.05,452.7,5644,323657,146583686.0,
45,500106,IFCI LTD    ,A ,Q,30.99,32.43,30.58,31.52,31.52,31.42,10404,7088713,224702468.0,
46,500108,MAHA.TELE   ,B ,Q,34.04,36.37,33.95,35.07,35.07,35.03,4641,1601930,56517710.0,
47,500109,MRPL        ,A ,Q,171.85,176.7,168.3,171.15,171.15,174.05,6445,692974,119598475.0,
48,500110,CHENNAI PET.,A ,Q,839.9,872.2,835.45,855.75,855.75,841.0,5671,159266,136246887.0,
49,500112,STATE BANK  ,A ,Q,627.9,636.7,623.5,626.15,626.15,636.8,13243,546363,343606773.0,
50,500113,STEEL AUTH. ,A ,Q,118.3,118.3,112.6,113.1,113.1,119.5,17347,2775894,318604441.0,
51,500114,TITAN       ,A ,Q,3819.3,3854.35,3802.2,3830.0,3814.0,3819.3,1755,14203,54419556.0,
52,500116,IDBI BANK L ,A ,Q,69.88,70.2,68.5,68.67,68.67,70.42,2980,909806,62887316.0,
53,500117,DCW LTD.    ,B ,Q,61.82,62.21,59.57,60.18,60.25,62.62,4051,675151,41301340.0,
54,500119,DHAMPUR SUGA,A ,Q,259.65,264.0,259.0,262.45,262.7,265.2,670,22054,5768268.0,
55,500120,DIAMINES&CHM,B ,Q,525.4,539.55,512.6,525.6,528.85,532.8,1107,8422,4422467.0,
56,500123,ELANTAS     ,B ,Q,8313.0,8400.0,8050.1,8296.3,8370.0,8324.65,114,548,4502611.0,
57,500124,DR.REDDY'S  ,A ,Q,5759.9,5759.9,5630.0,5645.45,5645.45,5758.1,1229,6598,37430022.0,
58,500125,E.I.D.PAR   ,A ,Q,571.75,580.85,570.6,576.75,575.55,580.4,445,8066,4660115.0,
59,500126,PGHL        ,A ,Q,5244.6,5244.6,5121.0,5218.85,5213.75,5236.3,129,523,2713605.0,
60,500128,ELEC.CASTING,A ,Q,130.75,138.0,130.0,135.15,135.5,132.6,3459,341217,46237226.0,
61,500133,ESAB INDIA  ,A ,Q,5689.95,5689.95,5548.0,5598.35,5595.0,5632.55,95,333,1861885.0,
62,500135,EPL         ,A ,Q,198.0,200.0,196.2,197.5,197.5,199.5,1666,62918,12455600.0,
63,500136,ESTER INDUS.,B ,Q,100.41,104.0,99.9,100.41,100.41,102.59,836,38923,3930255.0,
