,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
0,500002,ABB LTD.    ,A ,Q,4699.0,4715.7,4656.0,4678.55,4678.55,4673.95,381,1787,8375148.0,
1,500003,AEGIS LOGIS ,A ,Q,350.45,355.45,346.45,349.35,349.7,352.35,1619,36265,12666745.0,
2,500008,ARE&M       ,A ,Q,816.55,827.0,815.1,824.85,824.85,816.4,5063,80805,66405907.0,
3,500009,A.SARABHAI  ,XT,Q,39.0,39.92,38.15,39.92,39.92,38.02,265,152698,6008795.0,
4,500012,ANDHRA PETRO,X ,Q,81.5,83.01,81.5,82.63,82.63,81.51,672,164829,13582809.0,
5,500013,ANSAL INFRAS,Z ,Q,11.07,11.07,11.07,11.07,11.07,11.65,18,22764,251997.0,
6,500014,UTIQUE      ,X ,Q,6.82,7.4,6.6,7.19,7.23,6.69,344,87176,616075.0,
7,500016,ARUNAHTEL   ,X ,Q,16.59,16.59,15.61,15.83,15.8,16.14,60,26591,419526.0,
8,500020,BOM DYEING  ,A ,Q,154.9,158.7,154.85,155.5,155.5,153.9,2267,102137,15959002.0,
9,500027,ATUL LTD.   ,A ,Q,7180.0,7206.85,7117.65,7144.5,7198.8,7142.7,135,555,3976683.0,
10,500028,ATV PROJECTS,XT,Q,15.34,15.34,13.88,15.27,15.3,14.61,206,74874,1145533.0,
11,500031,BAJAJ ELECT.,A ,Q,999.95,999.95,989.0,992.7,994.0,989.05,629,6159,6125279.0,
12,500032,BAJAJHIND   ,A ,Q,28.19,28.49,27.9,28.14,28.14,27.84,5176,1485819,41943333.0,
13,500033,FORCE MOTR  ,B ,Q,3653.0,3699.95,3625.0,3684.2,3684.2,3621.0,1215,16347,60075770.0,
14,500034,BAJFINANCE  ,A ,Q,7327.8,7334.0,7274.3,7298.45,7298.45,7326.9,1669,9925,72489251.0,
15,500038,BALRAM.CHINI,A ,Q,413.95,420.1,409.0,414.25,414.25,410.55,6865,354554,147761876.0,
16,500039,BANCO PROD. ,B ,Q,645.0,652.05,624.45,629.55,629.6,638.7,2967,58270,37243611.0,
17,500040,CENTURY TEXT,A ,Q,1226.2,1287.4,1209.7,1280.0,1277.1,1221.55,1346,16230,20499954.0,
18,500041,BANNARI AMAN,B ,Q,2575.25,2577.55,2567.15,2576.45,2576.45,2550.95,8,15,38591.0,
19,500042,BASF INDIA  ,A ,Q,3070.0,3094.45,3060.8,3074.8,3070.5,3066.45,315,1120,3445125.0,
20,500043,BATA INDIA  ,A ,Q,1659.95,1659.95,1635.0,1637.65,1640.55,1651.15,425,4215,6932820.0,
