,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
0,500002,ABB LTD.    ,A ,Q,4796.75,4975.85,4767.2,4919.2,4919.2,4756.35,3463,16806,82609951.0,
1,500003,AEGIS LOGIS ,A ,Q,340.35,352.9,338.2,349.0,349.0,337.7,1750,60769,21009254.0,
2,500008,ARE&M       ,A ,Q,827.65,836.35,810.35,815.1,815.1,826.8,1383,21655,17845497.0,
3,500009,A.SARABHAI  ,XT,Q,42.44,43.79,41.6,41.89,41.8,42.44,335,77488,3294949.0,
4,500012,ANDHRA PETRO,X ,Q,90.0,102.45,90.0,99.96,99.96,90.51,5170,1217385,119780402.0,
5,500014,UTIQUE      ,X ,Q,9.99,10.3,8.61,8.81,8.81,9.21,1101,558468,5216463.0,
6,500016,ARUNAHTEL   ,X ,Q,15.17,15.97,15.17,15.59,15.88,15.38,111,42083,664451.0,
7,500020,BOM DYEING  ,A ,Q,158.35,163.3,156.6,157.15,157.15,157.2,1752,102524,16363772.0,
8,500023,ASIANHOTNR  ,T ,Q,206.5,212.4,204.05,211.35,210.0,206.3,6,29,5971.0,
9,500027,ATUL LTD.   ,A ,Q,6915.05,6915.05,6744.8,6794.95,6814.95,6848.9,636,1876,12782088.0,
10,500028,ATV PROJECTS,XT,Q,15.7,16.19,14.99,16.19,16.19,15.42,247,111266,1763536.0,
11,500031,BAJAJ ELECT.,A ,Q,1029.95,1045.25,1023.0,1031.65,1031.65,1025.2,329,3442,3570128.0,
12,500032,BAJAJHIND   ,A ,Q,28.49,28.94,28.07,28.17,28.17,28.12,2400,907331,25778020.0,
13,500033,FORCE MOTR  ,A ,Q,3780.0,3800.0,3709.0,3728.8,3728.8,3746.5,1908,21851,82247786.0,
14,500034,BAJFINANCE  ,A ,Q,7829.95,7829.95,7699.05,7721.25,7721.25,7734.05,5668,136202,1056511666.0,
