,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
0,500002,ABB LTD.    ,A ,Q,4779.25,4845.0,4739.75,4819.65,4818.8,4710.65,1288,6612,31839251.0,
1,500003,AEGIS LOGIS ,A ,Q,379.95,384.2,378.05,383.45,384.2,376.4,800,20440,7805713.0,
2,500008,ARE&M       ,A ,Q,819.05,820.0,804.05,816.9,816.9,811.3,3873,61429,49872400.0,
3,500009,A.SARABHAI  ,X ,Q,55.11,55.98,51.25,52.35,52.35,54.79,1080,257187,13601066.0,
4,500012,ANDHRA PETRO,X ,Q,95.5,98.78,94.06,96.62,96.62,94.4,913,173538,16852048.0,
5,500014,UTIQUE      ,X ,Q,8.45,8.45,8.12,8.26,8.26,8.29,311,65555,543326.0,
6,500016,ARUNAHTEL   ,X ,Q,20.0,20.5,19.6,20.0,19.75,19.74,166,45936,921463.0,
7,500020,BOM DYEING  ,A ,Q,156.25,157.75,154.75,155.4,155.5,154.85,1076,74782,11663145.0,
8,500027,ATUL LTD.   ,A ,Q,6670.0,6735.75,6535.15,6602.5,6570.0,6610.6,1814,7519,49916182.0,
9,500028,ATV PROJECTS,XT,Q,23.48,23.58,22.9,23.58,23.58,22.46,407,177339,4147390.0,
10,500031,BAJAJ ELECT.,A ,Q,1051.25,1051.25,1020.45,1032.7,1030.95,1026.75,436,3336,3442737.0,
11,500032,BAJAJHIND   ,A ,Q,26.6,26.91,26.2,26.35,26.35,26.42,2335,857191,22673696.0,
12,500033,FORCE MOTR  ,A ,Q,3501.0,3589.9,3455.05,3558.35,3558.35,3491.95,1422,12882,45463713.0,
13,500034,BAJFINANCE  ,A ,Q,7350.0,7386.0,7259.65,7320.35,7320.35,7265.2,9761,50511,369007850.0,
14,500038,BALRAM.CHINI,A ,Q,388.4,390.65,381.1,382.65,382.65,384.85,4774,162204,62572109.0,
15,500039,BANCO PROD. ,B ,Q,689.5,707.5,681.0,689.3,685.9,675.95,5956,116264,80447423.0,
16,500040,CENTURY TEXT,A ,Q,1402.45,1439.0,1387.0,1398.15,1399.6,1388.75,679,5243,7390062.0,
17,500041,BANNARI AMAN,B ,Q,2481.9,2485.15,2445.0,2447.05,2470.0,2455.15,76,188,464113.0,
18,500042,BASF INDIA  ,A ,Q,2970.0,3048.45,2967.0,3017.45,3005.05,2947.0,340,1369,4111725.0,
19,500043,BATA INDIA  ,A ,Q,1526.0,1529.4,1505.0,1516.8,1519.5,1517.15,2177,20699,31335830.0,
20,500048,BEML LTD    ,A ,Q,3185.25,3196.0,3153.8,3190.6,3190.5,3145.55,1861,17541,55752247.0,
21,500049,BHARAT ELECT,A ,Q,190.2,193.75,190.0,191.8,191.8,188.25,16966,2056171,393963869.0,
22,500052,BHANSALI ENG,B ,Q,112.3,112.5,108.65,108.95,109.3,110.2,908,71208,7844731.0,
23,500058,BIHAR SPONGE,XT,Q,15.2,15.91,15.2,15.91,15.91,15.16,711,534170,8443122.0,
24,500059,BINANI IND. ,T ,Q,19.09,19.09,19.09,19.09,19.09,19.47,9,10464,199757.0,
25,500060,BIRLACABLE  ,B ,Q,283.95,288.95,280.0,283.85,283.2,283.9,1347,32868,9351068.0,
26,500067,BLUE STAR   ,A ,Q,1067.6,1115.35,1055.5,1071.15,1071.15,1046.65,1508,39658,43139902.0,
27,500068,DISA INDIA  ,B ,Q,14807.25,15100.0,14807.0,15024.95,15100.0,15094.1,17,30,448217.0,
28,500069,QUESTCAP    ,X ,Q,388.0,409.0,370.15,373.65,371.05,374.85,45,845,323151.0,
29,500074,BPL LTD.    ,T ,Q,89.0,90.45,89.0,90.45,90.45,86.15,75,15441,1393360.0,
30,500078,OAL         ,B ,Q,390.0,399.0,384.0,384.95,384.0,386.75,88,450,174418.0,
31,500083,CENTURY EXT ,B ,Q,29.65,29.65,29.65,29.65,29.65,28.24,256,144617,4287894.0,
32,500084,CESC LTD.   ,A ,Q,143.0,145.5,141.0,143.65,143.65,141.55,8446,1141775,164042474.0,
33,500085,CHAMBAL FERT,A ,Q,383.15,387.05,369.05,373.15,373.15,382.9,5250,221296,83646567.0,
34,500086,EXIDE IND.  ,A ,Q,323.45,327.9,321.05,327.1,327.1,319.1,4749,220011,71357386.0,
35,500087,CIPLA LTD.  ,A ,Q,1332.65,1332.65,1317.0,1328.25,1328.25,1323.3,3826,59527,78875890.0,
36,500089,DIC INDIA   ,B ,Q,524.4,529.7,508.2,516.0,516.0,510.85,65,245,127101.0,
37,500092,CRISIL LTD  ,A ,Q,4054.05,4110.6,4054.05,4079.85,4055.1,4101.4,194,446,1823102.0,
38,500093,CGPOWER     ,A ,Q,460.0,460.0,452.1,454.2,452.65,452.75,1348,40612,18476993.0,
39,500096,DABUR (I)   ,A ,Q,541.05,544.5,540.0,541.95,541.95,539.55,5448,80510,43653840.0,
40,500097,DALMIASUG   ,B ,Q,395.95,395.95,390.25,391.45,392.5,388.45,396,6294,2467480.0,
