,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
0,500002,ABB LTD.    ,A ,Q,4744.65,4823.7,4744.65,4768.9,4768.5,4761.3,930,3645,17453328.0,
1,500003,AEGIS LOGIS ,A ,Q,375.15,375.15,361.0,364.0,364.55,363.7,606,14849,5411703.0,
2,500008,ARE&M       ,A ,Q,764.35,787.4,764.35,769.6,769.6,761.6,4636,110377,85674784.0,
3,500009,A.SARABHAI  ,XT,Q,39.79,39.79,39.23,39.23,39.23,40.03,94,36382,1429740.0,
4,500012,ANDHRA PETRO,X ,Q,79.83,80.75,79.15,79.56,79.6,79.83,489,58927,4688313.0,
5,500013,ANSAL INFRAS,Z ,Q,11.65,11.65,11.65,11.65,11.65,12.26,26,215761,2513615.0,
6,500014,UTIQUE      ,X ,Q,6.7,6.7,6.42,6.65,6.57,6.58,224,41267,274193.0,
7,500016,ARUNAHTEL   ,X ,Q,15.61,16.19,15.5,15.63,16.07,15.1,78,32257,511149.0,
8,500020,BOM DYEING  ,A ,Q,151.0,154.35,147.95,152.6,152.0,150.35,2507,80266,12100283.0,
9,500023,ASIANHOTNR  ,T ,Q,227.9,237.0,225.2,237.0,237.0,230.0,9,144,33251.0,
10,500027,ATUL LTD.   ,A ,Q,7000.0,7070.0,6926.25,7033.95,7040.0,6985.65,326,694,4874261.0,
11,500028,ATV PROJECTS,XT,Q,13.65,13.84,13.63,13.78,13.78,13.66,53,24747,340856.0,
12,500031,BAJAJ ELECT.,A ,Q,1002.7,1015.0,980.8,991.75,995.75,1008.15,502,4009,4009926.0,
13,500032,BAJAJHIND   ,A ,Q,27.92,28.18,27.3,27.74,27.74,27.91,5079,1543101,42857926.0,
14,500033,FORCE MOTR  ,B ,Q,3700.0,3760.0,3700.0,3712.5,3712.5,3627.2,1331,16633,62032660.0,
15,500034,BAJFINANCE  ,A ,Q,7302.05,7344.1,7147.45,7162.95,7162.95,7295.25,4878,29898,215933533.0,
16,500038,BALRAM.CHINI,A ,Q,391.85,391.85,387.05,388.45,388.25,388.8,1146,39492,15378932.0,
17,500039,BANCO PROD. ,B ,Q,625.3,664.5,621.05,651.75,651.75,621.3,6340,116055,74514590.0,
18,500040,CENTURY TEXT,A ,Q,1232.1,1235.5,1214.75,1220.95,1215.7,1229.4,651,5427,6629681.0,
19,500041,BANNARI AMAN,B ,Q,2535.05,2540.5,2507.55,2514.0,2516.5,2520.6,46,112,283022.0,
20,500042,BASF INDIA  ,A ,Q,3030.0,3095.7,3011.5,3078.95,3074.55,3034.8,374,1419,4346950.0,
21,500043,BATA INDIA  ,A ,Q,1619.15,1625.0,1608.1,1617.85,1617.85,1623.45,1318,9274,14995314.0,
22,500048,BEML LTD    ,A ,Q,2799.0,2896.0,2764.15,2874.95,2874.95,2804.5,3945,29313,83352386.0,
23,500049,BHARAT ELECT,A ,Q,178.35,184.5,178.0,181.95,181.95,174.85,28223,3779509,687991305.0,
24,500052,BHANSALI ENG,B ,Q,102.88,104.7,102.39,103.49,103.32,102.87,1980,134944,13965271.0,
25,500058,BIHAR SPONGE,XT,Q,10.23,10.5,10.03,10.38,10.31,10.2,227,54945,571136.0,
26,500059,BINANI IND. ,T ,Q,14.75,15.48,14.46,15.3,15.35,14.75,33,6027,91506.0,
27,500060,BIRLACABLE  ,B ,Q,300.05,302.9,286.85,290.85,291.35,299.15,1450,29620,8618683.0,
28,500067,BLUE STAR   ,A ,Q,959.0,959.0,940.4,945.55,945.55,950.1,549,4449,4219994.0,
29,500068,DISA INDIA  ,B ,Q,16299.95,16299.95,15800.05,15993.7,16060.0,16139.2,41,97,1563289.0,
30,500069,QUESTCAP    ,X ,Q,398.0,405.0,384.55,389.3,390.0,395.6,34,517,201029.0,
31,500074,BPL LTD.    ,T ,Q,85.4,87.33,85.4,87.33,87.33,83.18,191,37808,3296967.0,
32,500078,OAL         ,B ,Q,345.25,356.9,345.25,352.8,349.65,346.55,215,2376,833123.0,
33,500083,CENTURY EXT ,B ,Q,18.99,20.1,18.6,19.97,20.0,18.62,734,132788,2625785.0,
34,500084,CESC LTD.   ,A ,Q,120.44,124.5,119.1,123.41,123.41,119.16,7630,1013551,124863551.0,
35,500085,CHAMBAL FERT,A ,Q,361.4,372.4,359.5,371.3,371.3,359.6,3959,162593,59542579.0,
36,500086,EXIDE IND.  ,A ,Q,293.35,297.65,292.5,296.5,297.15,293.15,1929,67653,19983250.0,
37,500087,CIPLA LTD.  ,A ,Q,1238.65,1250.8,1231.85,1245.35,1246.4,1235.35,4198,94664,118123819.0,
38,500089,DIC INDIA   ,B ,Q,509.75,525.0,506.15,512.1,511.0,512.7,133,1304,670652.0,
39,500092,CRISIL LTD  ,A ,Q,4395.9,4424.1,4340.55,4389.45,4390.0,4353.15,323,887,3885744.0,
40,500093,CGPOWER     ,A ,Q,470.0,473.0,461.3,465.1,465.1,466.25,1783,245737,114962875.0,
41,500096,DABUR (I)   ,A ,Q,530.0,534.6,528.85,530.5,530.5,529.35,2919,63318,33654540.0,
